M,Scheduling Method,Chunk Size,T1,T2,T4,T8,S2,S4,S8
5000000,guided ,10000,1.630469,0.903016,0.521386,0.305733,1.805581,3.127180,5.332987
5000000,static ,50000,1.633708,0.937237,0.544179,0.313203,1.743110,3.002150,5.216127
5000000,dynamic,50000,1.635848,0.856072,0.534717,0.331317,1.910876,3.059278,4.937408
5000000,guided ,50000,1.636625,0.880489,0.553824,0.298210,1.858769,2.955136,5.488157
5000000,static ,100000,1.652603,0.934930,0.579467,0.341123,1.767623,2.851935,4.844600
5000000,dynamic,100000,1.626735,0.934350,0.536978,0.352767,1.741034,3.029427,4.611364
5000000,guided ,100000,1.658495,0.870552,0.556634,0.327283,1.905108,2.979506,5.067459
59,static ,2,0.000036,0.000133,0.000432,0.000187,0.270739,0.083006,0.192287
59,dynamic,2,0.000034,0.000171,0.000259,0.000187,0.199182,0.131559,0.182353
59,guided ,2,0.000035,0.000062,0.000096,0.000167,0.557878,0.360332,0.207660
